key,frozen,regenerated,exact_match
bounded_observation,"{""K256_r1_generic_L16"": 0.0, ""K256_r1_generic_L2"": 0.3, ""K256_r1_monitor_false_confidence"": 0.0, ""best_retention_model"": ""correlation_aware_logistic""}","{""K256_r1_generic_L16"": 0.0, ""K256_r1_generic_L2"": 0.3, ""K256_r1_monitor_false_confidence"": 0.0, ""best_retention_model"": ""correlation_aware_logistic""}",1
closure_verdicts,"{""execution"": ""global_coherence"", ""formal"": ""global_coherence_within_declared_finite_witness_class"", ""propagation"": ""undetermined""}","{""execution"": ""global_coherence"", ""formal"": ""global_coherence_within_declared_finite_witness_class"", ""propagation"": ""undetermined""}",1
coherence,"{""full_cns_fraction_harmed"": 0.012109375, ""full_cns_pareto_containment"": 0.98671875, ""incoherent_cns_fraction_harmed"": 0.155712890625, ""incoherent_cns_pareto_containment"": 0.7171875}","{""full_cns_fraction_harmed"": 0.012109375, ""full_cns_pareto_containment"": 0.98671875, ""incoherent_cns_fraction_harmed"": 0.155712890625, ""incoherent_cns_pareto_containment"": 0.7171875}",1
deterministic_witnesses,"{""ablation_successes"": 0, ""full_pass"": 23, ""n"": 23}","{""ablation_successes"": 0, ""full_pass"": 23, ""n"": 23}",1
fitness_triad,"[{""accuracy"": 0.5, ""model"": ""two_coordinate_without_current"", ""status"": ""defeated""}, {""accuracy"": 0.5, ""model"": ""two_coordinate_without_target"", ""status"": ""defeated""}, {""accuracy"": 0.5, ""model"": ""two_coordinate_without_projected"", ""status"": ""defeated""}, {""accuracy"": 1.0, ""model"": ""full_three_coordinate_controller"", ""status"": ""pass""}]","[{""accuracy"": 0.5, ""model"": ""two_coordinate_without_current"", ""status"": ""defeated""}, {""accuracy"": 0.5, ""model"": ""two_coordinate_without_target"", ""status"": ""defeated""}, {""accuracy"": 0.5, ""model"": ""two_coordinate_without_projected"", ""status"": ""defeated""}, {""accuracy"": 1.0, ""model"": ""full_three_coordinate_controller"", ""status"": ""pass""}]",1
higher_order,"{""best_matched_comparator_certified_reach"": 0.003308823529411765, ""best_matched_comparator_target_accuracy"": 0.39950980392156865, ""full_cns_certified_reach"": 0.4349877450980392, ""full_cns_recursive_reuse"": 0.34681372549019607, ""full_cns_target_accuracy"": 0.5845588235294118}","{""best_matched_comparator_certified_reach"": 0.003308823529411765, ""best_matched_comparator_target_accuracy"": 0.39950980392156865, ""full_cns_certified_reach"": 0.4349877450980392, ""full_cns_recursive_reuse"": 0.34681372549019607, ""full_cns_target_accuracy"": 0.5845588235294118}",1
lower_order_decoder_max_accuracy,0.4805714285714286,0.4805714285714286,1
master_seed,20260715,20260715,1
model_hash,"""797b16e309348bbabba0927c4639aae41a7209584d730505e4b451bdaf607bf3""","""797b16e309348bbabba0927c4639aae41a7209584d730505e4b451bdaf607bf3""",1
model_identification,"{""canonical_accuracy"": 0.94, ""heldout_min_distance_to_canonical"": 3, ""minimum_candidate_accuracy"": 0.932, ""selected_tests"": 27}","{""canonical_accuracy"": 0.94, ""heldout_min_distance_to_canonical"": 3, ""minimum_candidate_accuracy"": 0.932, ""selected_tests"": 27}",1
no_higher_order,"{""best_comparator_target_accuracy"": 0.5948275862068966, ""full_cns_target_accuracy"": 0.6788793103448276}","{""best_comparator_target_accuracy"": 0.5948275862068966, ""full_cns_target_accuracy"": 0.6788793103448276}",1
propagation_surrogate,"{""article_only_mean_pass_rate"": 0.0, ""complete_mean_pass_rate"": 0.8555555555555556, ""status"": ""algorithmic artifact stress test only; independent semantic receiver criterion not executed""}","{""article_only_mean_pass_rate"": 0.0, ""complete_mean_pass_rate"": 0.8555555555555556, ""status"": ""algorithmic artifact stress test only; independent semantic receiver criterion not executed""}",1
registry_hash,"""b7a6ef0e1d8c5c13f5699cb62142b2965d2391ecda5bd09e2d969eb191ad0385""","""b7a6ef0e1d8c5c13f5699cb62142b2965d2391ecda5bd09e2d969eb191ad0385""",1
title_status,3,3,1
unexecuted_external_boundaries,"[""independent language-model receiver study across three external model families"", ""real externally available trace collection"", ""full historical maximality audit""]","[""independent language-model receiver study across three external model families"", ""real externally available trace collection"", ""full historical maximality audit""]",1
