run_id,generation,condition,task_id,family,score,verdict_ok,missing_ok,claims_ok,fatal
RA__corrupted_artifact__01,A,corrupted_artifact,HF-EXTERNAL-A,HF-EXTERNAL,0.0,0,0,0,0
RA__corrupted_artifact__01,A,corrupted_artifact,HF-RECURRENCE-A,HF-RECURRENCE,0.0,0,0,0,0
RA__corrupted_artifact__01,A,corrupted_artifact,HF-CONFLATE-A,HF-CONFLATE,0.0,0,0,0,0
RA__corrupted_artifact__01,A,corrupted_artifact,HF-GF-TARGET-A,HF-GF-TARGET,0.0,0,0,0,0
RA__corrupted_artifact__01,A,corrupted_artifact,HF-ORDER-A,HF-ORDER,0.0,0,0,0,0
RA__corrupted_artifact__01,A,corrupted_artifact,HF-GF-PROMOTION-A,HF-GF-PROMOTION,0.0,0,0,0,0
RA__corrupted_artifact__01,A,corrupted_artifact,HF-REGISTER-A,HF-REGISTER,0.0,0,0,0,0
RA__corrupted_artifact__01,A,corrupted_artifact,HF-GOVERNANCE-A,HF-GOVERNANCE,0.0,0,0,0,0
RA__corrupted_artifact__01,A,corrupted_artifact,HF-RECALL-A,HF-RECALL,0.0,0,0,0,0
RA__corrupted_artifact__01,A,corrupted_artifact,HF-METRIC-A,HF-METRIC,0.0,0,0,0,0
RA__corrupted_artifact__01,A,corrupted_artifact,HF-SEM-RENAME-A,HF-SEM-RENAME,0.3333333333333333,0,1,0,0
RA__corrupted_artifact__01,A,corrupted_artifact,HF-BRIDGE-LIFT-DYN-A,HF-BRIDGE-LIFT-DYN,0.0,0,0,0,0
RA__corrupted_artifact__01,A,corrupted_artifact,HF-BRIDGE-DYN-LIFT-A,HF-BRIDGE-DYN-LIFT,0.0,0,0,0,0
RA__corrupted_artifact__01,A,corrupted_artifact,HF-REFLECTION-A,HF-REFLECTION,0.0,0,0,0,0
RA__cst_plus_lean__01,A,cst_plus_lean,HF-GF-TARGET-A,HF-GF-TARGET,0.0,0,0,0,0
RA__cst_plus_lean__01,A,cst_plus_lean,HF-REGISTER-A,HF-REGISTER,0.0,0,0,0,0
