world,base_order,transformed_order,expected_relation_passed
0,4,4,1
0,4,1,1
1,4,4,1
1,4,1,1
2,4,4,1
2,4,1,1
3,5,5,1
3,5,1,1
4,4,4,1
4,4,1,1
5,7,7,1
5,7,1,1
6,5,5,1
6,5,1,1
7,4,4,1
7,4,1,1
8,6,6,1
8,6,1,1
9,5,5,1
9,5,1,1
10,5,5,1
10,5,1,1
11,5,5,1
11,5,1,1
12,5,5,1
12,5,1,1
13,3,3,1
13,3,1,1
14,6,6,1
14,6,1,1
15,5,5,1
15,5,1,1
16,6,6,1
16,6,1,1
17,5,5,1
17,5,1,1
18,2,2,1
18,2,1,1
19,6,6,1
19,6,1,1
20,5,5,1
20,5,1,1
21,4,4,1
21,4,1,1
22,4,4,1
22,4,1,1
23,8,8,1
23,8,1,1
24,4,4,1
24,4,1,1
25,5,5,1
25,5,1,1
26,6,6,1
26,6,1,1
27,6,6,1
27,6,1,1
28,6,6,1
28,6,1,1
29,7,7,1
29,7,1,1
30,4,4,1
30,4,1,1
31,7,7,1
31,7,1,1
32,5,5,1
32,5,1,1
33,5,5,1
33,5,1,1
34,8,8,1
34,8,1,1
35,6,6,1
35,6,1,1
36,6,6,1
36,6,1,1
37,5,5,1
37,5,1,1
38,7,7,1
38,7,1,1
39,4,4,1
39,4,1,1
40,4,4,1
40,4,1,1
41,7,7,1
41,7,1,1
42,5,5,1
42,5,1,1
43,4,4,1
43,4,1,1
44,3,3,1
44,3,1,1
45,3,3,1
45,3,1,1
46,5,5,1
46,5,1,1
47,5,5,1
47,5,1,1
48,2,2,1
48,2,1,1
49,5,5,1
49,5,1,1
50,5,5,1
50,5,1,1
51,4,4,1
51,4,1,1
52,4,4,1
52,4,1,1
53,8,8,1
53,8,1,1
54,6,6,1
54,6,1,1
55,4,4,1
55,4,1,1
56,8,8,1
56,8,1,1
57,3,3,1
57,3,1,1
58,5,5,1
58,5,1,1
59,6,6,1
59,6,1,1
60,6,6,1
60,6,1,1
61,7,7,1
61,7,1,1
62,5,5,1
62,5,1,1
63,6,6,1
63,6,1,1
64,5,5,1
64,5,1,1
65,3,3,1
65,3,1,1
66,7,7,1
66,7,1,1
67,6,6,1
67,6,1,1
68,4,4,1
68,4,1,1
69,6,6,1
69,6,1,1
70,7,7,1
70,7,1,1
71,6,6,1
71,6,1,1
72,4,4,1
72,4,1,1
73,8,8,1
73,8,1,1
74,7,7,1
74,7,1,1
75,5,5,1
75,5,1,1
76,5,5,1
76,5,1,1
77,7,7,1
77,7,1,1
78,4,4,1
78,4,1,1
79,6,6,1
79,6,1,1
80,6,6,1
80,6,1,1
81,4,4,1
81,4,1,1
82,7,7,1
82,7,1,1
83,7,7,1
83,7,1,1
84,5,5,1
84,5,1,1
85,4,4,1
85,4,1,1
86,4,4,1
86,4,1,1
87,4,4,1
87,4,1,1
88,5,5,1
88,5,1,1
89,5,5,1
89,5,1,1
90,4,4,1
90,4,1,1
91,4,4,1
91,4,1,1
92,5,5,1
92,5,1,1
93,3,3,1
93,3,1,1
94,5,5,1
94,5,1,1
95,5,5,1
95,5,1,1
96,4,4,1
96,4,1,1
97,5,5,1
97,5,1,1
98,5,5,1
98,5,1,1
99,5,5,1
99,5,1,1
100,5,5,1
100,5,1,1
101,4,4,1
101,4,1,1
102,6,6,1
102,6,1,1
103,4,4,1
103,4,1,1
104,5,5,1
104,5,1,1
105,4,4,1
105,4,1,1
106,6,6,1
106,6,1,1
107,5,5,1
107,5,1,1
108,5,5,1
108,5,1,1
109,6,6,1
109,6,1,1
110,5,5,1
110,5,1,1
111,3,3,1
111,3,1,1
112,8,8,1
112,8,1,1
113,7,7,1
113,7,1,1
114,4,4,1
114,4,1,1
115,7,7,1
115,7,1,1
116,6,6,1
116,6,1,1
117,6,6,1
117,6,1,1
118,5,5,1
118,5,1,1
119,3,3,1
119,3,1,1
120,7,7,1
120,7,1,1
121,6,6,1
121,6,1,1
122,6,6,1
122,6,1,1
123,8,8,1
123,8,1,1
124,5,5,1
124,5,1,1
125,8,8,1
125,8,1,1
126,4,4,1
126,4,1,1
127,6,6,1
127,6,1,1
128,5,5,1
128,5,1,1
129,6,6,1
129,6,1,1
130,5,5,1
130,5,1,1
131,6,6,1
131,6,1,1
132,6,6,1
132,6,1,1
133,6,6,1
133,6,1,1
134,4,4,1
134,4,1,1
135,3,3,1
135,3,1,1
136,4,4,1
136,4,1,1
137,5,5,1
137,5,1,1
138,6,6,1
138,6,1,1
139,5,5,1
139,5,1,1
140,4,4,1
140,4,1,1
141,5,5,1
141,5,1,1
142,4,4,1
142,4,1,1
143,5,5,1
143,5,1,1
144,6,6,1
144,6,1,1
145,4,4,1
145,4,1,1
146,6,6,1
146,6,1,1
147,4,4,1
147,4,1,1
148,8,8,1
148,8,1,1
149,4,4,1
149,4,1,1
150,6,6,1
150,6,1,1
151,5,5,1
151,5,1,1
152,4,4,1
152,4,1,1
153,4,4,1
153,4,1,1
154,6,6,1
154,6,1,1
155,7,7,1
155,7,1,1
156,7,7,1
156,7,1,1
157,7,7,1
157,7,1,1
158,6,6,1
158,6,1,1
159,6,6,1
159,6,1,1
160,3,3,1
160,3,1,1
161,5,5,1
161,5,1,1
162,6,6,1
162,6,1,1
163,7,7,1
163,7,1,1
164,8,8,1
164,8,1,1
165,5,5,1
165,5,1,1
166,7,7,1
166,7,1,1
167,6,6,1
167,6,1,1
168,4,4,1
168,4,1,1
169,4,4,1
169,4,1,1
170,7,7,1
